"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.039557741E0,-1.801290512E-1,1.490488052E-1,1.308279037E-1
3.058384043E0,-7.441926003E-2,7.979106903E-2,2.551147938E-1
3.077210345E0,4.435086250E-2,-1.662092209E-1,2.784092426E-1
3.096036647E0,3.511793613E-1,-2.505474091E-1,6.859254837E-2
3.114863001E0,5.238742828E-1,-2.441682816E-1,2.302336693E-2
3.133689303E0,5.863494873E-1,-4.162025452E-1,2.964520454E-2
3.152515605E0,4.812388420E-1,-9.289741516E-3,3.074958324E-1
3.171341960E0,7.252335548E-1,2.066698074E-1,7.614305019E-1
3.190168262E0,5.267267227E-1,7.773342133E-1,9.727120399E-1
3.208994564E0,5.677611828E-1,4.703750610E-1,8.936052322E-1
3.227820918E0,9.259727001E-1,1.462421417E-1,1.056558371E0
3.246647220E0,9.354207516E-1,3.254566193E-1,1.588839769E0
3.265473522E0,7.170369625E-1,9.694776535E-1,2.030104160E0
3.284299876E0,5.634949207E-1,1.203309059E0,2.173625231E0
3.303126178E0,3.687384129E-1,1.076420784E0,1.937070608E0
3.321952480E0,-8.260488510E-2,1.096074104E0,1.132811546E0
3.340778835E0,-8.455038071E-1,1.374458313E0,8.483810425E-1
3.359605137E0,-1.207992554E0,1.027614594E0,7.567987442E-1
3.378431439E0,-1.115109205E0,8.403472900E-1,3.538484573E-1
3.397257793E0,-1.237360001E0,5.612659454E-1,8.440494537E-3
3.416084095E0,-1.622199416E0,-5.559730530E-2,-5.847134590E-1
3.434910397E0,-1.996691704E0,-5.025033951E-1,-1.239319801E0
3.453736751E0,-1.952855349E0,-8.434219360E-1,-1.489726067E0
3.472563053E0,-1.560545325E0,-9.163341522E-1,-1.506660223E0
3.491389355E0,-1.228209734E0,-9.001979828E-1,-1.408486843E0
3.510215710E0,-1.238738894E0,-1.024395943E0,-1.614220858E0
3.529042012E0,-1.526317716E0,-8.097276688E-1,-1.861013889E0
3.547868366E0,-1.606818557E0,-1.893043518E-3,-1.838164806E0
3.566694668E0,-1.409821749E0,7.100219727E-1,-1.800353169E0
3.585520970E0,-1.069338560E0,1.366354942E0,-1.587496758E0
3.604347324E0,-6.509280205E-1,1.263229370E0,-1.378444314E0
3.623173626E0,-5.804879069E-1,1.029512405E0,-1.163981438E0
3.641999980E0,-5.297352672E-1,8.774442673E-1,-9.912259579E-1
3.660826282E0,-2.739225030E-1,6.813211441E-1,-5.693409443E-1
3.679652585E0,9.364801645E-2,5.857257843E-1,6.573843956E-2
3.698478939E0,2.581307888E-1,5.457010269E-1,2.863824368E-1
3.717305241E0,2.550957799E-1,7.320833206E-1,9.750080109E-2
3.736131595E0,2.626756430E-1,1.058940887E0,-3.331573009E-1
3.754957897E0,5.209044218E-1,9.379968643E-1,-7.867803574E-1
3.773784199E0,8.302359581E-1,5.249300003E-1,-1.384685040E0
3.792610553E0,9.602822065E-1,4.907474518E-1,-1.726469517E0
3.811436855E0,1.065864444E0,7.865695953E-1,-1.989066839E0
3.830263210E0,1.236305118E0,8.036432266E-1,-2.056377411E0
