"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.208316047E0,-7.527042627E-1,-1.266344070E0,1.883944750E0
3.227142401E0,-3.605738282E-1,-1.289226532E0,1.255241156E0
3.245968807E0,2.893126011E-2,-1.403409004E0,9.159541130E-1
3.264795162E0,3.358745575E-1,-2.281462193E0,3.846783638E-1
3.283621516E0,2.869658470E-1,-2.781314373E0,3.122901917E-2
3.302447922E0,4.229247570E-2,-2.668981075E0,-5.612049103E-1
3.321274276E0,-4.228748679E-1,-1.446400166E0,-9.892263412E-1
3.340087505E0,-1.068337202E0,7.323160172E-1,-9.981989861E-1
3.358927037E0,-1.826531649E0,2.637286186E0,-1.381897688E0
3.377753391E0,-1.989643455E0,2.448866844E0,-1.757816434E0
3.396579745E0,-1.281714201E0,1.310122490E0,-1.691757679E0
3.415406151E0,-3.282921910E-1,9.492321014E-1,-1.453971148E0
3.434232505E0,4.326742887E-1,1.371981621E0,-1.432105541E0
3.453058859E0,8.233878016E-1,1.784473419E0,-1.391052723E0
3.471885266E0,1.009775400E0,1.662007332E0,-9.110753536E-1
3.490711620E0,8.921290636E-1,9.067611694E-1,-4.485146999E-1
3.509537974E0,4.706273079E-1,6.235923767E-1,-3.273625374E-1
3.528364380E0,9.092062712E-2,6.537218094E-1,-2.545671463E-1
3.547190734E0,-1.220347881E-1,4.594230652E-2,9.802341461E-2
3.566017089E0,-2.603467703E-1,-4.190683365E-1,5.690097809E-3
3.584843495E0,-3.381940424E-1,-5.775928497E-1,-3.127648830E-1
3.603669849E0,-4.972768426E-1,-7.175655365E-1,-7.414150238E-1
3.622496203E0,-6.163610816E-1,-7.220335007E-1,-7.645995617E-1
3.641322609E0,-4.605090618E-1,-3.530902863E-1,-4.453940392E-1
3.660148964E0,-3.121507764E-1,2.418651581E-1,2.698111534E-2
3.678975370E0,-3.436793089E-1,4.850692749E-1,1.787781715E-1
3.697801724E0,-5.776315331E-1,6.524467468E-1,3.216409683E-1
3.716628078E0,-7.376835346E-1,9.396371841E-1,2.078890800E-2
3.735454484E0,-1.042172790E0,1.253180504E0,6.637716293E-2
3.754280839E0,-1.170654535E0,9.916973114E-1,6.304049492E-2
3.773107245E0,-1.163259506E0,2.264184952E-1,-1.609606743E-1
3.791933599E0,-1.132114649E0,-3.884124756E-2,-1.621987820E-1
3.810759953E0,-1.204313993E0,-3.675947189E-1,-1.681907177E-1
3.829586359E0,-1.359182358E0,-6.655025482E-1,5.097389221E-3
3.848412714E0,-1.135227561E0,-7.622814178E-1,2.918853760E-1
3.867239120E0,-1.154253483E0,-1.354351044E-1,8.373770714E-1
3.886065474E0,-1.697092533E0,6.116609573E-1,1.359346151E0
3.904891828E0,-2.083681107E0,8.322811127E-2,1.837025642E0
3.923718234E0,-2.251694202E0,-1.144856453E0,2.293495417E0
3.942544589E0,-2.193989992E0,-1.854291439E0,2.421795368E0
3.961370995E0,-1.901033044E0,-1.699999809E0,2.498222828E0
3.980197349E0,-1.497138858E0,-1.386338711E0,2.401968241E0
3.999023703E0,-1.290246129E0,-1.044163704E0,2.205215454E0
4.017850109E0,-1.224602818E0,-9.319143295E-1,1.713082790E0
4.036676464E0,-1.309012175E0,-6.597213745E-1,1.305481434E0
4.055502870E0,-1.091810703E0,-6.005067825E-1,9.444947243E-1
4.074329224E0,-6.383177042E-1,-5.019273758E-1,7.293241024E-1
4.093155630E0,-6.898463517E-2,-6.060142517E-1,6.687953472E-1
4.111981984E0,-4.046089202E-2,-1.772022247E-1,2.883963585E-1
4.130808391E0,-4.416136444E-1,2.929573059E-1,1.020407677E-1
4.149634745E0,-4.326623380E-1,3.934230804E-1,-4.800081253E-2
