"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.005297600E-1,-3.787253052E-2,1.327523828E0,1.528950691E0
6.028829890E-1,-4.947862774E-2,1.337144613E0,1.544679999E0
6.052362190E-1,-5.833591148E-2,1.344474792E0,1.559187651E0
6.075894480E-1,-6.612421572E-2,1.351652265E0,1.573695302E0
6.099426770E-1,-7.375980914E-2,1.358982444E0,1.585759521E0
6.122959060E-1,-8.276980370E-2,1.365090966E0,1.599198103E0
6.146491870E-1,-9.162709117E-2,1.373490095E0,1.608819008E0
6.170024160E-1,-9.926267713E-2,1.378224134E0,1.617218137E0
6.193556460E-1,-1.081199646E-1,1.385554314E0,1.626838923E0
6.217088750E-1,-1.195733473E-1,1.390288353E0,1.635238171E0
6.240621040E-1,-1.258345395E-1,1.391510010E0,1.646233320E0
6.264153330E-1,-1.360662282E-1,1.396396875E0,1.658297539E0
6.287685620E-1,-1.461452097E-1,1.401283622E0,1.670361876E0
6.311217910E-1,-1.575985998E-1,1.401283622E0,1.681204319E0
6.334750730E-1,-1.652341783E-1,1.406170368E0,1.695711970E0
6.358283020E-1,-1.742441803E-1,1.412126184E0,1.707928896E0
6.381815310E-1,-1.831014603E-1,1.418234587E0,1.721214890E0
6.405347600E-1,-1.870719790E-1,1.423121452E0,1.734500766E0
6.428879890E-1,-1.910424829E-1,1.429077148E0,1.745496035E0
6.452412190E-1,-1.937913001E-1,1.436407328E0,1.757712960E0
6.475944480E-1,-1.965401024E-1,1.441294074E0,1.768708229E0
6.499476770E-1,-1.966928244E-1,1.449693203E0,1.779703498E0
6.523009060E-1,-1.957765520E-1,1.454580069E0,1.791920424E0
6.546541350E-1,-1.971509457E-1,1.455801725E0,1.802915692E0
6.570073640E-1,-1.974563748E-1,1.463131905E0,1.815132618E0
6.593606460E-1,-1.963873953E-1,1.469240427E0,1.827349544E0
6.617138750E-1,-1.966928244E-1,1.477639556E0,1.839566469E0
6.640671040E-1,-1.982199401E-1,1.486191392E0,1.851783514E0
6.664203330E-1,-2.009687424E-1,1.497033954E0,1.865069389E0
6.687735620E-1,-2.049392611E-1,1.512763262E0,1.876064658E0
6.711267910E-1,-2.052446753E-1,1.524827480E0,1.889350533E0
6.734800210E-1,-2.067717910E-1,1.544069171E0,1.900345802E0
6.758332500E-1,-2.108950168E-1,1.563310862E0,1.912410021E0
6.781865310E-1,-2.148655206E-1,1.582552552E0,1.922183633E0
6.805397600E-1,-2.189887464E-1,1.601794243E0,1.933026195E0
6.828929890E-1,-2.217375487E-1,1.623326540E0,1.940203547E0
6.852462190E-1,-2.244863659E-1,1.645011663E0,1.949977160E0
6.875994480E-1,-2.310529798E-1,1.667918444E0,1.959445238E0
6.899526770E-1,-2.362451702E-1,1.690672517E0,1.969218850E0
6.923059060E-1,-2.417428046E-1,1.714800954E0,1.984948158E0
6.946591350E-1,-2.470877171E-1,1.741220117E0,1.998234153E0
6.970123640E-1,-2.499892414E-1,1.770082593E0,2.015185118E0
6.993656460E-1,-2.542651594E-1,1.800166845E0,2.030914307E0
7.017188750E-1,-2.571666837E-1,1.833763480E0,2.046643734E0
7.040721040E-1,-2.602209449E-1,1.866291046E0,2.062373161E0
7.064253330E-1,-2.606790662E-1,1.902331114E0,2.078102350E0
7.087785620E-1,-2.611372173E-1,1.936080337E0,2.090319395E0
7.111317910E-1,-2.615953386E-1,1.970898628E0,2.103605270E0
7.134850210E-1,-2.634278834E-1,2.009382010E0,2.119334459E0
7.158382500E-1,-2.638860047E-1,2.047865391E0,2.137507200E0
7.181914790E-1,-2.681619525E-1,2.088792086E0,2.153236628E0
7.205447600E-1,-2.651077211E-1,2.134453058E0,2.174005508E0
7.228979890E-1,-2.658712566E-1,2.177823305E0,2.195843220E0
7.252512190E-1,-2.664821148E-1,2.225927353E0,2.212794304E0
7.276044480E-1,-2.622061968E-1,2.277544022E0,2.232188702E0
7.299576770E-1,-2.577775419E-1,2.325648308E0,2.247917891E0
7.323109060E-1,-2.535016239E-1,2.383373260E0,2.263799906E0
7.346641350E-1,-2.516690791E-1,2.441098452E0,2.276933193E0
7.370173640E-1,-2.472404242E-1,2.503557444E0,2.284110546E0
7.393705940E-1,-2.429644912E-1,2.564795017E0,2.293731451E0
7.417238750E-1,-2.434226274E-1,2.630766392E0,2.298465490E0
7.440771040E-1,-2.452551723E-1,2.696738005E0,2.301825285E0
7.464303330E-1,-2.495311052E-1,2.765000105E0,2.305184841E0
7.487835620E-1,-2.574721277E-1,2.834636688E0,2.305948496E0
7.511367910E-1,-2.666348219E-1,2.906563997E0,2.305643082E0
7.534900210E-1,-2.783936262E-1,2.982003689E0,2.305184841E0
7.558432500E-1,-2.912214398E-1,3.056221485E0,2.298465490E0
7.581964790E-1,-3.064926267E-1,3.126927137E0,2.294342279E0
7.605497080E-1,-3.242071867E-1,3.197632790E0,2.286401272E0
7.629029370E-1,-3.432961702E-1,3.265894890E0,2.279834747E0
7.652562190E-1,-3.622324169E-1,3.332935333E0,2.271893740E0
7.676094480E-1,-3.823903799E-1,3.395089149E0,2.262883663E0
7.699626770E-1,-4.037700295E-1,3.458464384E0,2.252499342E0
7.723159060E-1,-4.275930822E-1,3.517105818E0,2.242114782E0
7.746691350E-1,-4.488200247E-1,3.569638729E0,2.233104944E0
7.770223640E-1,-4.714213610E-1,3.621102571E0,2.223942041E0
7.793755940E-1,-4.928010404E-1,3.670123100E0,2.217375517E0
7.817288230E-1,-5.140279531E-1,3.719143629E0,2.210656166E0
7.840821040E-1,-5.315898061E-1,3.763429880E0,2.204089642E0
7.864353330E-1,-5.503733754E-1,3.805273056E0,2.196301222E0
7.887885620E-1,-5.691569448E-1,3.845894337E0,2.187443972E0
7.911417910E-1,-5.867187977E-1,3.885446787E0,2.178434134E0
7.934950210E-1,-5.990884304E-1,3.926068068E0,2.165758848E0
7.958482500E-1,-6.152759194E-1,3.960733652E0,2.153236628E0
7.982014790E-1,-6.302416325E-1,3.994177580E0,2.141783237E0
8.005547080E-1,-6.452074051E-1,4.026399612E0,2.128039122E0
8.029079370E-1,-6.600204706E-1,4.056178570E0,2.114295006E0
8.052611660E-1,-6.748335361E-1,4.082445145E0,2.100398302E0
8.076144480E-1,-6.884248853E-1,4.103824615E0,2.087875843E0
8.099676770E-1,-6.995728016E-1,4.125357151E0,2.079171419E0
8.123209060E-1,-7.107207775E-1,4.140780926E0,2.066648960E0
8.146741350E-1,-7.204943299E-1,4.152692318E0,2.057944298E0
8.170273640E-1,-7.290462255E-1,4.162160397E0,2.046643734E0
8.193805940E-1,-7.327113152E-1,4.159717083E0,2.036870241E0
8.217338230E-1,-7.386670709E-1,4.158342838E0,2.026943922E0
8.240870520E-1,-7.409577370E-1,4.151165485E0,2.013505220E0
8.264402810E-1,-7.418739796E-1,4.138948441E0,1.998844981E0
8.287935620E-1,-7.427902818E-1,4.126883984E0,1.985406280E0
8.311467910E-1,-7.437065244E-1,4.114820004E0,1.969524264E0
8.335000210E-1,-7.420266867E-1,4.099090576E0,1.956085682E0
8.358532500E-1,-7.379034758E-1,4.081070423E0,1.939134598E0
8.382064790E-1,-7.337802649E-1,4.060606956E0,1.922183633E0
8.405597080E-1,-7.284353375E-1,4.035256863E0,1.910119414E0
8.429129370E-1,-7.217160463E-1,4.005325317E0,1.895611763E0
8.452661660E-1,-7.125533223E-1,3.970354557E0,1.877439022E0
8.476194480E-1,-7.021689415E-1,3.934314489E0,1.864305854E0
8.499726770E-1,-6.904101372E-1,3.892318726E0,1.848729253E0
8.523259060E-1,-6.749862432E-1,3.846657991E0,1.829487562E0
8.546791350E-1,-6.580352187E-1,3.796262980E0,1.809176922E0
8.570323640E-1,-6.400152445E-1,3.748158693E0,1.786270142E0
8.593855940E-1,-6.218425035E-1,3.695320606E0,1.761072636E0
8.617388230E-1,-6.024481058E-1,3.640038729E0,1.733431816E0
8.640920520E-1,-5.842754245E-1,3.584757090E0,1.707012653E0
8.664452810E-1,-5.647283196E-1,3.528253794E0,1.676775694E0
8.687985620E-1,-5.464028716E-1,3.472972155E0,1.646691442E0
8.711517910E-1,-5.256340504E-1,3.410512924E0,1.614163876E0
8.735050210E-1,-5.036435723E-1,3.349275589E0,1.582857966E0
8.758582500E-1,-4.839437306E-1,3.286663771E0,1.549108624E0
8.782114790E-1,-4.619532526E-1,3.221913815E0,1.520398855E0
8.805647080E-1,-4.424061179E-1,3.154567957E0,1.491536260E0
8.829179370E-1,-4.216373265E-1,3.087374687E0,1.463895440E0
8.852711660E-1,-4.033119082E-1,3.020028830E0,1.437476277E0
8.876243960E-1,-3.814741075E-1,2.952835560E0,1.415943980E0
8.899776770E-1,-3.645231128E-1,2.888085842E0,1.398076653E0
8.923309060E-1,-3.439069986E-1,2.824404955E0,1.376697063E0
8.946841350E-1,-3.232909143E-1,2.759655237E0,1.358829737E0
8.970373640E-1,-2.990097404E-1,2.699639559E0,1.344627500E0
8.993905940E-1,-2.773246467E-1,2.639623642E0,1.331799746E0
9.017438230E-1,-2.544178963E-1,2.582051277E0,1.317597508E0
9.040970520E-1,-2.301367074E-1,2.522188425E0,1.303548098E0
