"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.810697600E-1,-1.125823021E0,9.592825890E0,3.903890133E0
6.834229890E-1,-1.077368379E0,9.559925079E0,3.851846218E0
6.857762190E-1,-1.000199914E0,9.526425362E0,3.790829182E0
6.881294480E-1,-9.511470199E-1,9.498309135E0,3.729214191E0
6.904826770E-1,-8.739784956E-1,9.460023880E0,3.668197155E0
6.928359060E-1,-7.878368497E-1,9.417551994E0,3.631108284E0
6.951891350E-1,-7.298108935E-1,9.394221306E0,3.570091486E0
6.975423640E-1,-6.669993401E-1,9.375079155E0,3.494119167E0
6.998956460E-1,-6.089733839E-1,9.394221306E0,3.437289715E0
7.022488750E-1,-5.467599630E-1,9.437891006E0,3.366103172E0
7.046021040E-1,-4.887340367E-1,9.480362892E0,3.247060299E0
7.069553330E-1,-4.025924206E-1,9.524032593E0,3.166302681E0
7.093085620E-1,-3.445664644E-1,9.514460564E0,3.109472990E0
7.116617910E-1,-2.434697002E-1,9.443274498E0,3.034697294E0
7.140150210E-1,-1.190429255E-1,9.434301376E0,2.979064226E0
7.163682500E-1,-1.316052489E-2,9.373284340E0,2.952144861E0
7.187214790E-1,8.733802289E-2,9.345169067E0,2.920439959E0
7.210747600E-1,1.645065546E-1,9.273982048E0,2.874378204E0
7.234279890E-1,2.685943544E-1,9.289535522E0,2.856431961E0
7.257812190E-1,3.451646566E-1,9.314062119E0,2.823530674E0
7.281344480E-1,4.157529473E-1,9.343374252E0,2.815155745E0
7.304876770E-1,4.725824594E-1,9.434301376E0,2.776870728E0
7.328409060E-1,5.240281820E-1,9.515657425E0,2.772084951E0
7.351941350E-1,5.796613097E-1,9.621540070E0,2.776870728E0
7.375473640E-1,5.976074338E-1,9.731609344E0,2.771486759E0
7.399005940E-1,5.964110494E-1,9.837491989E0,2.775674343E0
7.422538750E-1,5.904290080E-1,9.923633575E0,2.779861689E0
7.446071040E-1,5.940182209E-1,9.990633011E0,2.803191662E0
7.469603330E-1,5.928218365E-1,1.003848934E1,2.841476917E0
7.493135620E-1,5.736792088E-1,1.012881851E1,2.821137905E0
7.516667910E-1,5.347958803E-1,1.019103146E1,2.839682341E0
7.540200210E-1,4.821537733E-1,1.023828983E1,2.843271494E0
7.563732500E-1,4.390829504E-1,1.029990482E1,2.818146944E0
7.587264790E-1,3.637090325E-1,1.033220863E1,2.782852650E0
7.610797080E-1,2.925225794E-1,1.035075283E1,2.752942562E0
7.634329370E-1,2.177468538E-1,1.033519936E1,2.699702263E0
7.657862190E-1,1.519442350E-1,1.036271667E1,2.660220623E0
