"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.670781869E1,-5.746961594E0,3.623929977E0,7.094120979E0
8.671017223E1,-5.680561066E0,3.629313707E0,7.085746288E0
8.671252572E1,-5.575276852E0,3.640081406E0,7.063014030E0
8.671487926E1,-5.480162144E0,3.645465374E0,7.045068264E0
8.671723280E1,-5.395216942E0,3.680161238E0,7.055835724E0
8.671958629E1,-5.316253662E0,3.695116282E0,7.119843960E0
8.672193983E1,-5.240880013E0,3.696312666E0,7.164111137E0
8.672429332E1,-5.156532764E0,3.721437454E0,7.217949390E0
8.672664686E1,-5.057828903E0,3.741776466E0,7.238288403E0
8.672900035E1,-4.954937458E0,3.742972851E0,7.321439266E0
8.673135390E1,-4.866403103E0,3.772883177E0,7.380063057E0
8.673370738E1,-4.771886349E0,3.783650875E0,7.409973621E0
8.673606093E1,-4.696512699E0,3.784249067E0,7.425527096E0
8.673841447E1,-4.611567497E0,3.756731510E0,7.475177765E0
8.674076796E1,-4.532006264E0,3.772284985E0,7.533802032E0
8.674312150E1,-4.428516388E0,3.797409534E0,7.587640762E0
8.674547499E1,-4.330410957E0,3.803989887E0,7.665407181E0
8.674782853E1,-4.226323128E0,3.776472330E0,7.719843864E0
8.675018202E1,-4.133002758E0,3.768097401E0,7.798209190E0
8.675253556E1,-4.043870449E0,3.783650875E0,7.837690353E0
8.675488910E1,-3.959523201E0,3.784847260E0,7.891529083E0
8.675724259E1,-3.860819340E0,3.795614958E0,7.941180229E0
8.675959614E1,-3.762115479E0,3.787240028E0,8.005187988E0
8.676194962E1,-3.687339783E0,3.817150354E0,8.044071198E0
8.676430317E1,-3.616751432E0,3.808177233E0,8.093124390E0
8.676665666E1,-3.522833109E0,3.809971809E0,8.147561073E0
8.676901020E1,-3.428914785E0,3.811168194E0,8.201399803E0
8.677136369E1,-3.372085333E0,3.787838221E0,8.251050949E0
8.677371723E1,-3.301496983E0,3.760320902E0,8.295317650E0
8.677607072E1,-3.216551781E0,3.737588882E0,8.349156380E0
8.677842426E1,-3.174079180E0,3.714258909E0,8.379066467E0
8.678077775E1,-3.136990547E0,3.700500250E0,8.417949677E0
8.678313129E1,-3.113062143E0,3.700500250E0,8.413763046E0
8.678548483E1,-3.108276606E0,3.705285788E0,8.418548584E0
8.678783832E1,-3.155534744E0,3.719044685E0,8.369495392E0
8.679019186E1,-3.183052301E0,3.756731510E0,8.321041107E0
8.679254535E1,-3.268595695E0,3.793820381E0,8.295317650E0
8.679489890E1,-3.353540897E0,3.816552162E0,8.260622025E0
8.679725239E1,-3.467200041E0,3.853640795E0,8.210372925E0
8.679960593E1,-3.604787350E0,3.904488325E0,8.169096947E0
8.680195942E1,-3.745963812E0,3.945764542E0,8.080561638E0
8.680431296E1,-3.897907972E0,4.030111313E0,8.053643227E0
8.680666650E1,-4.086941242E0,4.094717979E0,7.974081516E0
8.680901999E1,-4.275974274E0,4.130609989E0,7.928019524E0
8.681137353E1,-4.447061062E0,4.220340729E0,7.881359577E0
8.681372702E1,-4.655236244E0,4.275375843E0,7.810771465E0
8.681608056E1,-4.830510616E0,4.344767570E0,7.764709473E0
8.681843405E1,-5.042873859E0,4.375874519E0,7.665407181E0
8.682078759E1,-5.216353416E0,4.373481750E0,7.567301750E0
8.682314108E1,-5.409573555E0,4.395017147E0,7.472784996E0
8.682549462E1,-5.587839127E0,4.406980991E0,7.345965385E0
8.682784817E1,-5.737988472E0,4.380660057E0,7.252645493E0
8.683020166E1,-5.882754326E0,4.354937077E0,7.130611420E0
8.683255520E1,-6.017350674E0,4.295714855E0,7.003791809E0
8.683490869E1,-6.133402824E0,4.240679741E0,6.859025955E0
8.683726223E1,-6.267400742E0,4.157529354E0,6.728019238E0
8.683961572E1,-6.373881340E0,4.083351612E0,6.602396011E0
8.684196926E1,-6.455835342E0,3.991228104E0,6.448657036E0
8.684432280E1,-6.533003807E0,3.912863255E0,6.289534092E0
8.684667629E1,-6.586244106E0,3.787240028E0,6.141179085E0
8.684902983E1,-6.601797581E0,3.685544968E0,6.007181168E0
8.685138332E1,-6.604190350E0,3.603590965E0,5.882754326E0
8.685373686E1,-6.601199627E0,3.507279873E0,5.778068542E0
8.685609035E1,-6.608976364E0,3.445066452E0,5.706283569E0
8.685844390E1,-6.579065800E0,3.378067255E0,5.649454117E0
8.686079739E1,-6.563512325E0,3.339184046E0,5.592624664E0
8.686315093E1,-6.519843578E0,3.296711445E0,5.560321808E0
8.686550447E1,-6.471987247E0,3.239881754E0,5.585446358E0
8.686785796E1,-6.410970211E0,3.211766243E0,5.605186939E0
8.687021150E1,-6.320042610E0,3.179463148E0,5.602196217E0
8.687256499E1,-6.255436420E0,3.161516905E0,5.699105263E0
8.687491853E1,-6.147161484E0,3.129812002E0,5.787041664E0
8.687727202E1,-6.044867992E0,3.140579700E0,5.898906231E0
8.687962556E1,-5.938387394E0,3.138186932E0,6.040082455E0
8.688197905E1,-5.831308842E0,3.144767046E0,6.166304111E0
8.688433259E1,-5.747560024E0,3.083750248E0,6.306882381E0
8.688668608E1,-5.636293888E0,3.114856958E0,6.457031727E0
8.688903962E1,-5.529214859E0,3.102294445E0,6.597609997E0
8.689139311E1,-5.431707382E0,3.099303484E0,6.738188744E0
8.689374666E1,-5.349154949E0,3.115455151E0,6.893123627E0
8.689610020E1,-5.252245903E0,3.107678413E0,7.057630539E0
8.689845369E1,-5.202594757E0,3.123231649E0,7.207181931E0
8.690080723E1,-5.096114159E0,3.154338360E0,7.362117290E0
8.690316072E1,-5.021936417E0,3.112463951E0,7.478168964E0
8.690551426E1,-4.957330227E0,3.089732170E0,7.599604607E0
8.690786775E1,-4.849653244E0,3.086741209E0,7.682755470E0
8.691022129E1,-4.813162804E0,3.083152056E0,7.769495010E0
8.691257483E1,-4.757529736E0,3.064607620E0,7.856832981E0
