"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.552378580E-1,-7.055285573E-2,9.816315174E-1,-1.776038408E-1
4.575914000E-1,-5.971032009E-2,1.020114899E0,-1.678302884E-1
4.599449410E-1,-4.672981426E-2,1.074327588E0,-1.519482583E-1
4.622984830E-1,-3.390202299E-2,1.128387570E0,-1.311794519E-1
4.646520250E-1,-2.458660305E-2,1.177713513E0,-1.140757278E-1
4.670055660E-1,-1.420219894E-2,1.235438585E0,-9.575030953E-2
4.693591080E-1,-2.596100792E-3,1.308740258E0,-7.635590434E-2
4.717126500E-1,-1.068982761E-3,1.386928678E0,-5.573981255E-2
4.740662430E-1,6.108472589E-4,1.455343604E0,-3.649812192E-2
4.764197850E-1,-1.374406274E-3,1.527423620E0,-1.954711229E-2
4.787733270E-1,-8.399149403E-3,1.607902646E0,-2.901524538E-3
4.811268680E-1,-1.924168877E-2,1.690825224E0,1.863084175E-2
4.834804100E-1,-3.512371704E-2,1.777260065E0,4.016320780E-2
4.858339520E-1,-5.360184610E-2,1.865985632E0,6.642963737E-2
4.881874930E-1,-7.696675509E-2,1.953642249E0,9.513945878E-2
4.905410350E-1,-1.018587798E-1,2.050919771E0,1.299577504E-1
4.928945770E-1,-1.278197914E-1,2.139797926E0,1.647760421E-1
4.952481180E-1,-1.527118087E-1,2.231119633E0,1.995943487E-1
4.976016600E-1,-1.798945218E-1,2.324732065E0,2.330382317E-1
4.999552020E-1,-2.009687424E-1,2.417275429E0,2.692309320E-1
5.023087430E-1,-2.270824611E-1,2.514552832E0,3.051182032E-1
5.046622850E-1,-2.469350100E-1,2.608317852E0,3.374931216E-1
5.070158270E-1,-2.654131353E-1,2.701930046E0,3.626905680E-1
5.093693680E-1,-2.823641598E-1,2.784699917E0,3.804051280E-1
5.117229100E-1,-2.979407609E-1,2.859070539E0,3.909422457E-1
5.140764520E-1,-3.122956753E-1,2.938175201E0,3.978142738E-1
5.164300460E-1,-3.242071867E-1,3.019723415E0,4.071297050E-1
5.187835870E-1,-3.385621011E-1,3.100049734E0,4.150707126E-1
5.211371290E-1,-3.529170156E-1,3.175642252E0,4.280512035E-1
5.234906710E-1,-3.636068404E-1,3.246500492E0,4.424061179E-1
5.258442120E-1,-3.742966652E-1,3.316137075E0,4.578300118E-1
5.281977540E-1,-3.875826001E-1,3.384704590E0,4.782933891E-1
5.305512960E-1,-3.968980014E-1,3.443498611E0,4.961606860E-1
5.329048370E-1,-4.074351192E-1,3.483203888E0,5.131117105E-1
5.352583790E-1,-4.141544402E-1,3.513288021E0,5.300627351E-1
5.376119210E-1,-4.181249440E-1,3.531307936E0,5.433486104E-1
5.399654620E-1,-4.220954478E-1,3.534973145E0,5.494571328E-1
5.423058790E-1,-4.220954478E-1,3.529017210E0,5.543438792E-1
5.446725460E-1,-4.219427407E-1,3.515884161E0,5.555655956E-1
5.470260870E-1,-4.179722369E-1,3.488243341E0,5.483881235E-1
5.493665560E-1,-4.063661397E-1,3.471292257E0,5.302154422E-1
5.517331710E-1,-3.810159862E-1,3.474804640E0,4.950917065E-1
5.540867640E-1,-3.541387022E-1,3.472208500E0,4.501944184E-1
5.564271810E-1,-3.274141252E-1,3.449301720E0,4.101839364E-1
5.587938480E-1,-3.017585576E-1,3.408375025E0,3.764346242E-1
5.611473890E-1,-2.785463631E-1,3.355536699E0,3.513898849E-1
5.635009310E-1,-2.605263591E-1,3.295368195E0,3.347443044E-1
5.658544730E-1,-2.463241518E-1,3.227106094E0,3.277195692E-1
5.682080140E-1,-2.394521236E-1,3.149070263E0,3.269560039E-1
5.705615560E-1,-2.351761907E-1,3.061566353E0,3.335226178E-1
5.729150980E-1,-2.322746664E-1,2.969328642E0,3.400892019E-1
5.752686390E-1,-2.292204350E-1,2.872203827E0,3.489464819E-1
5.776090560E-1,-2.235700935E-1,2.769123316E0,3.568875194E-1
5.799757230E-1,-2.142546773E-1,2.663752079E0,3.597890437E-1
5.823292640E-1,-2.047865391E-1,2.559449911E0,3.603998721E-1
5.846696810E-1,-1.904316396E-1,2.450261116E0,3.622324169E-1
5.870363480E-1,-1.734806150E-1,2.342446566E0,3.616215885E-1
5.893898890E-1,-1.577513069E-1,2.230966806E0,3.587200642E-1
5.917434310E-1,-1.345391124E-1,2.120708942E0,3.570402265E-1
5.940970250E-1,-1.127013192E-1,2.015185118E0,3.527642787E-1
5.964505660E-1,-9.452861547E-2,1.914548039E0,3.486410677E-1
5.988041080E-1,-7.513421029E-2,1.815132618E0,3.455868363E-1
6.011576500E-1,-5.589252338E-2,1.722741961E0,3.449759781E-1
6.035111910E-1,-3.787253052E-2,1.632947445E0,3.443651497E-1
6.058647330E-1,-2.367033064E-2,1.547886968E0,3.474193811E-1
6.082182750E-1,-1.068982668E-2,1.471072912E0,3.454341292E-1
6.105718160E-1,-3.054236295E-4,1.398076653E0,3.471139669E-1
6.129253580E-1,8.857285604E-3,1.332105160E0,3.486410677E-1
6.152789000E-1,1.557660475E-2,1.267355323E0,3.477247953E-1
6.176324410E-1,1.969982497E-2,1.208561301E0,3.480302393E-1
6.199859830E-1,2.260134928E-2,1.153432369E0,3.446705639E-1
6.223395250E-1,2.550287358E-2,1.103037477E0,3.436015844E-1
6.246930660E-1,2.962609194E-2,1.058750987E0,3.402419090E-1
6.270466080E-1,3.115320951E-2,1.017824292E0,3.342861533E-1
6.294001500E-1,3.283303976E-2,9.807152748E-1,3.295520842E-1
6.317536910E-1,3.313846514E-2,9.458969831E-1,3.248180151E-1
6.341072330E-1,3.100049868E-2,9.145910740E-1,3.199312389E-1
6.364608270E-1,3.008422814E-2,8.809944391E-1,3.151971996E-1
6.388143680E-1,3.023693897E-2,8.557969928E-1,3.129065037E-1
6.411678580E-1,3.298575059E-2,8.283088803E-1,3.118375242E-1
6.435214520E-1,3.191677108E-2,8.041804433E-1,3.118375242E-1
6.458749930E-1,3.695625812E-2,7.803573608E-1,3.144336343E-1
6.482285350E-1,4.199574888E-2,7.551599145E-1,3.184041381E-1
