"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.528020028E0,-3.444257259E0,2.614956856E0,-1.575543880E0
3.546848257E0,-3.407158375E0,2.987222195E0,-9.283246994E-1
3.565676538E0,-2.992807388E0,2.695412159E0,-8.423304558E-1
3.584504767E0,-2.580121994E0,2.272972107E0,-7.237010002E-1
3.603332996E0,-2.091888428E0,2.217037201E0,-5.555224419E-1
3.622161278E0,-1.763076782E0,2.234411716E0,-7.446956635E-2
3.640989507E0,-1.142753601E0,2.356453896E0,2.756309509E-2
3.659817788E0,-7.837677002E-1,2.350344181E0,4.685544968E-1
3.678646017E0,-4.348697662E-1,2.141052246E0,8.924202919E-1
3.697474298E0,-1.811256409E-1,1.664370537E0,1.003308296E0
3.716302528E0,-2.030415535E-1,1.562928677E0,8.666090965E-1
3.735130757E0,-2.467374802E-1,2.199515343E0,1.038952827E0
3.753959038E0,-2.599368095E-1,2.757952690E0,1.334579945E0
3.772787267E0,-2.581753731E-1,2.949299335E0,1.482942104E0
3.791615548E0,-8.537244797E-2,2.850391865E0,1.549112320E0
3.810443778E0,2.026534081E-1,2.264522076E0,1.429006100E0
3.829272059E0,3.931922913E-1,1.651237011E0,1.188150883E0
3.848100288E0,5.564532280E-1,1.223272324E0,8.072705269E-1
3.866928517E0,8.539371490E-1,8.126225471E-1,4.408402443E-1
3.885756798E0,1.522093296E0,5.841016769E-1,5.040407181E-2
3.904585028E0,2.067609787E0,1.023640156E0,-2.004528046E-2
3.923413309E0,2.394065142E0,1.479370594E0,5.249309540E-2
3.942241538E0,2.644251108E0,1.266954899E0,8.909082413E-2
3.961069819E0,2.789811373E0,1.090560913E0,1.723775864E-1
3.979898048E0,2.596802950E0,1.214458466E0,4.352798462E-1
3.998726330E0,2.201430082E0,1.124351740E0,6.549801826E-1
4.017554559E0,1.804218292E0,6.550943851E-1,7.402262688E-1
4.036382788E0,1.413785934E0,3.415737152E-1,8.593940735E-1
4.055211069E0,1.035784721E0,1.377043724E-1,8.184671402E-1
4.074039298E0,6.148352623E-1,6.693863869E-2,7.743039131E-1
4.092867580E0,3.325119019E-1,1.142561436E-1,8.356661797E-1
4.111695809E0,2.222247124E-1,1.080324650E-1,9.680452347E-1
4.130524090E0,8.718919754E-2,-1.321203709E-1,1.151731968E0
4.149352319E0,-2.527236938E-3,-3.856611252E-1,1.375574589E0
4.168180600E0,-3.765635490E-1,-4.876501560E-1,1.712164402E0
4.187008830E0,-9.907355309E-1,-6.598730087E-1,1.817244053E0
4.205837111E0,-2.001268864E0,-9.528853893E-1,1.904569149E0
4.224665340E0,-2.827435017E0,-1.118162751E0,1.948659897E0
4.243493569E0,-3.772481441E0,-1.285316825E0,1.634828568E0
4.262321850E0,-4.542704105E0,-1.645298719E0,1.295308590E0
4.281150080E0,-4.482707500E0,-1.869404435E0,9.379825592E-1
4.299978361E0,-3.966951847E0,-1.766127348E0,9.789128304E-1
4.318806590E0,-3.504575253E0,-1.490497828E0,9.447731972E-1
4.337634871E0,-3.291074753E0,-1.477272034E0,7.347340584E-1
4.356463100E0,-3.100148201E0,-1.547293901E0,4.630041122E-1
4.375291382E0,-2.888905048E0,-1.544565916E0,2.160983086E-1
4.394119611E0,-2.690553188E0,-1.366689086E0,1.345787048E-1
4.412947892E0,-2.556034088E0,-1.278361201E0,1.948766708E-1
4.431776121E0,-2.196173191E0,-1.161244869E0,2.458105087E-1
4.450604403E0,-1.698359489E0,-3.194506168E-1,3.855161667E-1
4.469432632E0,-1.242969513E0,9.775823355E-1,7.894392014E-1
4.488260913E0,-8.469257355E-1,2.004463434E0,9.234762192E-1
4.507089142E0,-7.187781334E-1,2.841007471E0,7.526569366E-1
4.525917423E0,-5.971555710E-1,3.450329542E0,4.634590149E-1
4.544745653E0,-5.209536552E-1,3.769491196E0,-1.283731461E-1
4.563573934E0,-2.281742096E-1,4.146673203E0,-9.537930489E-1
4.582402163E0,2.334842682E-1,4.639235973E0,-1.406877995E0
4.601230444E0,8.814795017E-1,4.591748238E0,-1.820174694E0
4.620058673E0,1.523393154E0,4.186408997E0,-2.104443550E0
4.638886955E0,2.037251949E0,3.715340614E0,-2.443466663E0
4.657715184E0,2.242714882E0,3.297734737E0,-2.695045471E0
4.676543465E0,2.321563244E0,2.906828165E0,-2.882027149E0
4.695371694E0,2.270888090E0,2.683493614E0,-2.968520641E0
4.714199975E0,2.299230337E0,2.382721424E0,-3.180557728E0
4.733028205E0,2.305658340E0,2.318317652E0,-3.209138393E0
4.751856486E0,2.292116642E0,2.387865067E0,-2.999924660E0
4.770684767E0,2.325871468E0,2.449583769E0,-2.565042973E0
4.789512996E0,2.398350716E0,2.055393934E0,-2.043153763E0
4.808341278E0,2.206716776E0,1.794152260E0,-1.754686832E0
4.827169507E0,1.688904405E0,1.734679699E0,-1.594692707E0
4.845997788E0,1.339013457E0,1.650413990E0,-1.176369667E0
4.864826017E0,1.184663057E0,1.509888411E0,-6.589851379E-1
4.883654298E0,1.056461334E0,1.375060797E0,-3.531951904E-1
4.902482528E0,8.310506344E-1,1.119381905E0,-1.596240997E-1
4.921310809E0,4.636979103E-1,1.176996708E0,-9.385108948E-3
4.940139090E0,1.429250240E-1,1.164842606E0,1.921091080E-1
4.958967319E0,-7.921361923E-2,9.288582802E-1,3.271398544E-1
4.977795600E0,-3.198442459E-1,7.849369049E-1,3.095760345E-1
4.996623830E0,-6.674785614E-1,7.417380810E-1,1.572523117E-1
5.015452111E0,-8.238899708E-1,6.338137388E-1,-8.495044708E-2
5.034280340E0,-9.338831902E-1,7.269684076E-1,-2.956542969E-1
5.053108621E0,-8.876478672E-1,8.137221336E-1,-4.357852936E-1
5.071936903E0,-7.143447399E-1,8.529251814E-1,-6.766471863E-1
5.090765132E0,-4.900412560E-1,8.780608177E-1,-9.046268463E-1
5.109593413E0,-3.476898670E-1,8.136097789E-1,-1.344783306E0
5.128421642E0,-3.895559311E-1,6.534872055E-1,-1.788384914E0
5.147249923E0,-5.693123341E-1,5.717042089E-2,-1.965629578E0
5.166078153E0,-1.559350491E-1,-1.001020193E0,-1.928882599E0
5.184906434E0,1.942749023E-1,-1.485165119E0,-1.860028267E0
5.203734715E0,1.066303253E-2,-1.467223763E0,-1.744893074E0
5.222562944E0,-1.285715103E-1,-1.563027382E0,-1.990897655E0
5.241391225E0,-2.002992630E-1,-1.417932749E0,-2.347431660E0
5.260219455E0,-2.463779449E-1,-1.239335775E0,-2.519546986E0
5.279047736E0,-1.449451447E-1,-1.088081360E0,-2.598832607E0
5.297875965E0,-1.204595566E-1,-5.041221380E-1,-2.393474102E0
5.316704246E0,-7.412481308E-2,-4.112040699E-1,-1.971221924E0
5.335532528E0,9.436464310E-2,-7.175102234E-1,-1.736982346E0
5.354360757E0,-1.648726463E-1,-6.715826988E-1,-1.708984852E0
5.373189038E0,-4.778237343E-1,-6.800999641E-1,-1.593962193E0
5.392017319E0,-4.078226089E-1,-8.981683850E-1,-1.250505447E0
5.410845548E0,-4.361805916E-1,-1.071282744E0,-9.338583946E-1
5.429673830E0,-6.113724709E-1,-1.427868485E0,-6.743597984E-1
5.448502059E0,-8.444547653E-1,-1.854022503E0,-2.394771576E-1
5.467330340E0,-1.360596657E0,-1.914159060E0,1.663885117E-1
5.486158621E0,-2.166418076E0,-1.901977539E0,6.655025482E-1
5.504986850E0,-2.901191711E0,-1.809656739E0,8.978910446E-1
5.523815132E0,-3.572339058E0,-1.663175821E0,1.218418121E0
5.542643413E0,-4.216237068E0,-1.639384031E0,1.565111160E0
5.561471642E0,-4.842195988E0,-1.937010050E0,1.649886131E0
5.580299923E0,-5.330454826E0,-2.123660564E0,1.488210678E0
5.599128153E0,-6.124298096E0,-2.207206726E0,1.124419212E0
5.617956434E0,-6.972941875E0,-2.128581047E0,1.002058983E0
5.636784715E0,-7.593783855E0,-1.452867031E0,1.180300713E0
5.655612996E0,-7.672445774E0,-1.207650542E0,1.002259254E0
5.674434663E0,-7.815987587E0,5.851829052E-2,1.074333191E-1
5.693585705E0,-8.248525620E0,1.934660673E0,-1.461118698E0
5.712790236E0,-7.862140179E0,3.522731781E0,-3.308216095E0
5.731981382E0,-6.399572372E0,3.854989052E0,-4.293059826E0
5.751199246E0,-3.940554380E0,4.204148769E0,-5.107388973E0
5.770403778E0,-1.553127050E0,6.039553642E0,-6.362257957E0
5.789594923E0,2.325074673E-1,7.561321735E0,-7.266275406E0
5.808592632E0,1.786906242E0,7.820536137E0,-7.048008919E0
5.827420913E0,2.318852425E0,7.005356789E0,-6.487392902E0
5.846249194E0,1.668405175E0,6.271360397E0,-5.581419468E0
5.865077423E0,4.204254150E-1,5.977522373E0,-4.757467747E0
5.883905705E0,-1.276043892E0,5.719873428E0,-4.286551476E0
5.902720861E0,-2.556639671E0,4.406006813E0,-4.104853630E0
5.921562267E0,-3.575232267E0,4.377151012E0,-3.778223515E0
5.940390496E0,-4.342940331E0,5.045701981E0,-3.170589924E0
5.959218778E0,-4.359246254E0,5.161849022E0,-2.617578983E0
5.978047059E0,-4.238945007E0,4.295488358E0,-2.827341080E0
5.996875288E0,-4.351747513E0,3.780422211E0,-2.701626301E0
6.015703569E0,-4.419530869E0,3.784871101E0,-3.122985840E0
6.034531850E0,-4.436162949E0,3.698215008E0,-3.617452145E0
6.053360080E0,-4.211934090E0,3.835216999E0,-4.463046074E0
6.072188361E0,-3.862743139E0,3.891256809E0,-5.169156075E0
6.091016590E0,-3.487973452E0,4.229414940E0,-5.735558987E0
6.109844871E0,-2.865469456E0,4.522118092E0,-6.038534164E0
6.128673153E0,-2.393760681E0,5.138555050E0,-5.769281864E0
6.147501382E0,-2.656140327E0,5.911987305E0,-5.328586102E0
6.166329663E0,-2.990813255E0,5.931393147E0,-4.983270645E0
6.185157944E0,-3.039954185E0,5.718368053E0,-4.627028465E0
6.203986173E0,-3.073944092E0,5.993230820E0,-4.235046387E0
6.222814455E0,-3.526580334E0,6.369078636E0,-3.608219862E0
6.241642736E0,-3.998889446E0,5.950775146E0,-2.800636530E0
6.260470965E0,-4.589485645E0,5.878899097E0,-2.659575701E0
6.279299246E0,-5.287994862E0,5.908807755E0,-2.704869032E0
6.298127528E0,-5.384752274E0,6.111506462E0,-2.864591360E0
6.316955757E0,-4.837483406E0,6.189032078E0,-2.823259592E0
6.335784038E0,-3.844123840E0,5.792199612E0,-2.535070896E0
6.354599194E0,-2.388991833E0,5.181933403E0,-2.604838133E0
6.373440548E0,-1.009072304E0,4.322154045E0,-2.767241001E0
6.392268830E0,-2.295594215E-1,4.243617058E0,-2.583583593E0
6.411097111E0,1.285705566E-1,4.698470116E0,-2.464940310E0
6.429925340E0,1.941251755E-2,5.289783001E0,-2.370873213E0
6.448753621E0,-8.263397217E-2,4.937694073E0,-2.232340097E0
